"نام کالا",نماد,تالار,"تولید کننده","نوع قرارداد","قیمت پایانی میانگین   موزون","ارزش معامله (هزارریال)","پایین ترین",بالاترین,"قیمت پایه عرضه","حجم عرضه",تقاضا,"حجم قرارداد",واحد,"تاریخ معامله","عرضه کننده",کارگزار,"نوع ارز"
"روغن پایه برایت استاک",TIOC-BOBS150B-00,"تالار فرآورده های نفتی","نفت ایرانول تهران","نقدی (مچینگ)","410,000","31,980,000","410,000","410,000","410,000",0,78,78,تن,1401/11/11,"نفت ایرانول","صبا تأمین",ریال
"سیمان تیپ 5/کیسه50",SGHC-CEMENT5-50L-00,"تالار سیمان","صنایع سیمان سامان غرب","نقدی (مچینگ)","6,435","5,630,625","6,435","6,435","6,435",0,875,875,تن,1401/11/11,"صنایع سیمان سامان غرب",ساوآفرین,ریال
"سیمان پرتلند آهکی/کیسه50",UCC-CEMENTPOLI-50L-00,"تالار سیمان","سیمان ارومیه","نقدی (مچینگ)","6,057","605,700","6,057","6,057","6,057",0,100,100,تن,1401/11/11,"سیمان ارومیه","صبا تأمین",ریال
"سیمان مرکب/کیسه50",SCC-CEMENTPM-50L-00,"تالار سیمان","سیمان صوفیان","نقدی (مچینگ)","6,057","1,150,830","6,057","6,057","6,057",0,190,190,تن,1401/11/11,"کارخانجات سیمان صوفیان","صبا تأمین",ریال
"سیمان تیپ2",CICE-CEMENT2B-00,"تالار سیمان","سیمان کیاسر","نقدی (مچینگ)","5,866","6,159,300","5,866","5,866","5,866",0,"1,050","1,050",تن,1401/11/11,"صنایع سیمان کیاسر","بانک سپه",ریال
"سیمان پوزولانی ویژه",KHCE-CEMENTSPB-00,"تالار سیمان","سیمان خاش","نقدی (مچینگ)","5,165","1,342,900","5,165","5,165","5,165",0,260,260,تن,1401/11/11,"سیمان خاش","صبا تأمین",ریال
"سیمان تیپ 325-1/کیسه50",GAC-CEMENT325-50L-00,"تالار سیمان","مجتمع سیمان غرب آسیا","نقدی (مچینگ)","5,937","415,590","5,937","5,937","5,937",0,70,70,تن,1401/11/11,"مجتمع سیمان غرب آسیا",حافظ,ریال
"سیمان تیپ 2/کیسه50",NGC-CEMENT2-50L-00,"تالار سیمان","سیمان خاکستری نی ریز","نقدی (مچینگ)","6,449","2,347,436","6,449","6,449","6,449",0,364,364,تن,1401/11/11,"سیمان خاکستری نی ریز","اندیشه و بینش پیشرو",ریال
"سیمان تیپ 2/کیسه25",SCC-CEMENT2-25L-00,"تالار سیمان","سیمان صوفیان","نقدی (مچینگ)","7,396","369,800","7,396","7,396","7,396",0,50,50,تن,1401/11/11,"کارخانجات سیمان صوفیان","صبا تأمین",ریال
"سیمان تیپ 2/کیسه50",ESTC-CEMENT2-50L-00,"تالار سیمان","سیمان استهبان","نقدی (مچینگ)","6,900","179,400","6,900","6,900","6,900",0,26,26,تن,1401/11/11,"سیمان استهبان",آگاه,ریال
"سیمان تیپ2",ECC-CEMENT2B-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","4,657","1,257,390","4,657","4,657","4,657",0,270,270,تن,1401/11/11,"سیمان شرق","آرمون بورس",ریال
"سیمان تیپ 325-1/کیسه50",ECC-CEMENT325-50L-00,"تالار سیمان","سیمان شرق","نقدی (مچینگ)","5,937","6,827,550","5,937","5,937","5,937",0,"1,150","1,150",تن,1401/11/11,"سیمان شرق","آرمون بورس",ریال
"سیمان تیپ 5/کیسه50",BCCO-CEMENT5-50L-00,"تالار سیمان","سیمان بجنورد","نقدی (مچینگ)","6,171","2,036,430","6,171","6,171","6,171",0,330,330,تن,1401/11/11,"سیمان بجنورد","صبا تأمین",ریال
"سیمان تیپ 325-1/کیسه50",SECO-CEMENT325-50L-00,"تالار سیمان","سیمان سپاهان","نقدی (مچینگ)","5,937","1,335,825","5,937","5,937","5,937",0,225,225,تن,1401/11/11,"سیمان سپاهان","آرمون بورس",ریال
"سیمان تیپ 325-1",GAC-CEMENT325B-00,"تالار سیمان","مجتمع سیمان غرب آسیا","نقدی (مچینگ)","4,537","408,330","4,537","4,537","4,537",0,90,90,تن,1401/11/11,"مجتمع سیمان غرب آسیا",حافظ,ریال
"سیمان تیپ2",NGC-CEMENT2B-00,"تالار سیمان","سیمان خاکستری نی ریز","نقدی (مچینگ)","6,735","14,183,910","6,735","6,735","6,735",0,"2,106","2,106",تن,1401/11/11,"سیمان خاکستری نی ریز","اندیشه و بینش پیشرو",ریال
"سیمان تیپ2",SECO-CEMENT2B-00,"تالار سیمان","سیمان سپاهان","نقدی (مچینگ)","6,556","4,589,200","6,556","6,556","6,556",0,700,700,تن,1401/11/11,"سیمان سپاهان","آرمون بورس",ریال
"سیمان تیپ 5/کیسه50",DCCO-CEMENT5-50L-00,"تالار سیمان","سیمان دورود","نقدی (مچینگ)","6,171","308,550","6,171","6,171","6,171",0,50,50,تن,1401/11/11,"سیمان دورود","صبا تأمین",ریال
"سیمان تیپ2",SCC-CEMENT2B-00,"تالار سیمان","سیمان صوفیان","نقدی (مچینگ)","6,584","658,400","6,584","6,584","6,584",0,100,100,تن,1401/11/11,"کارخانجات سیمان صوفیان","صبا تأمین",ریال
"سیمان تیپ 425-1/کیسه50",KCC-CEMENT425-50L-00,"تالار سیمان","سیمان کردستان","نقدی (مچینگ)","6,124","306,200","6,124","6,124","6,124",0,50,50,تن,1401/11/11,"سیمان کردستان","آرمون بورس",ریال
"سیمان مرکب/کیسه50",BCCO-CEMENTPM-50L-00,"تالار سیمان","سیمان بجنورد","نقدی (مچینگ)","6,057","302,850","6,057","6,057","6,057",0,50,50,تن,1401/11/11,"سیمان بجنورد","صبا تأمین",ریال
"سیمان تیپ2",SGHC-CEMENT2B-00,"تالار سیمان","صنایع سیمان سامان غرب","نقدی (مچینگ)","6,029","904,350","6,029","6,029","6,029",0,150,150,تن,1401/11/11,"صنایع سیمان سامان غرب",ساوآفرین,ریال
"سیمان تیپ 425-1",WCO-CEMENT425B-00,"تالار سیمان","سیمان غرب","نقدی (مچینگ)","4,724","2,362,000","4,724","4,724","4,724",0,500,500,تن,1401/11/11,"صنایع سیمان غرب","صبا تأمین",ریال
